Compensation,Post time,Description,Post Id,Title,URL,Address,Employment Type
,,"
        
Shared room(Parkmerced tower) near SFSU.
Nice neighborhood, quiet place, plenty of parking.
Wi-Fi ready.
Laundry in a basement.
Gym(Free!) inside building.
Near market, cafe, bank ATM.
5min walk to SFSU.
5min walk to bus(57,28,29), muni(M-downtown), samtrain station.
Next to Freeway 101, 280 exit and Daly City bart.
Close to Stonestown shopping mall, Trader Joe's.
Female only! (You will share the room with one Female student)
No pet, No smoking please.

Available June 1, 2017
$600+$50(utility fee)=$650 /month 
Deposit $650

Please reply e-mail &
Leave your contact number! Thanks!    ",post id: 6135746369,Shared Room near SFSU Parkmerced (ingleside / SFSU / CCSF),https://sfbay.craigslist.org/sfc/roo/6135746369.html,ingleside / SFSU / CCSF,
,,"
        
I'm subletting my corner room in a 3 unit apartment in the Haight. The room is beautiful - has two sets of bay windows. Lots of sun. You can see up to Buenavista Park and down Haight Street. The room itself is spacious, has hardwood floors, and a built in closet. 

Ample parking around Buenavista Park. The apartment is right across the street from Ritual Coffee. Tons of fun restaurants and bars on Haight Street. A quick walk to the Panhandle and Golden Gate Park. Access to the 6 and 7 MUNI lines to get downtown. 

Two other roommates (guy and a girl) in their early/mid twenties. A works in fashion. Very cool girl/punk rock vibes. Super friendly and has a great love of potstickers. B is s super polite midwestern boy. Likes to take home things he finds on the street. Cooks a lot with varied success. 

I'm leaving the apartment to move in with family across town. Looking for a July 1st move-in with possibility to move-in a few days earlier. 

Please message a little about yourself, what you do for a living, and your availability to come see the place.    ",post id: 6176549302,Bright Sunny Corner Room on Haight Street,https://sfbay.craigslist.org/sfc/roo/6176549302.html,hayes valley,
,,"
        
Hi, and thanks for previewing this amazing room for rent in a PANORAMIC VIEW HOUSE, and deck. You have a private room with private bathroom and shower, and private deck. There is a shared kitchen upstairs. The neighborhood is called ""Miraloma Park"" located on the Mt. Davidson hillside. The room has amazing views of the bay and the ocean. Oakland to San Mateo to Daly City, and also has its own private deck! There is a yard 2 floors down. The property is a house which we share, I live upstairs. The kitchen is on the top floor and there is also a deck upstairs. It is available NOW. The Muni ""36 Teresita"" stops on the corner of Molimo Drive and Teresita Bld. very close. You can get to Bart easy this way and get downtown. On street Parking here is unlimited with ""NO RESTRICTIONS""! Park 24/7 and NEVER get a parking ticket again and save BIG money. We have the Mollie Stones on Portola to shop at, or Safeway on Monterey Bld. The zip code is 94127. What you will have to pay is the following: Rent $1299.00 + a % of Water + a % of PG&E. We have all cable channels, on demand, HDTV in your room appox 300 channels, internet ready dsl comcast high speed- all for $70.00 a month. Total bills should range approximatley $175.00 to $225.00 for everything listed above. A one year lease and security/rental deposit of $2600.00. Sorry NO Animals at all, and ONE PERSON ONLY! Free on street parking, Free laundry in house, and Free garbage! . You can see City College (CCSF) down the hill and also close to San Francisco State University (SFSU)! Available NOW. Phone calls only, No Text or E-mail thanks, Please Call me if your are interested at 
 
    ",post id: 6151516464,"PANORAMIC VIEW HOUSE 1 BEDROOM W/ PRIVATE DECK & BATH, 2 FLOORS, NICE!",https://sfbay.craigslist.org/sfc/roo/6151516464.html,ingleside / SFSU / CCSF,
,,"
        
Come be the 4th roommate in our spacious Edwardian flat! Our roommate is moving out and we are looking to fill this spot on July 1st.

We are in a great location on Fell St. between Fillmore & Steiner, just a block away from the beauty of Alamo Square Park. The 22 and 21 busses pick up within a block or two and the N is a short walk as well; the highway is right nearby if you've got a car and are getting on the road; we're less than a 10 minute walk to all the good stuff on Divis like BiRite and the Indy, or in the other direction to all the wonderful food & shops of Hayes Valley. Basically, we are in an amazing spot!

About the house's inhabitants: The couple at the other end of the hall are a teacher and musician/manager of a venue. They are in the kitchen A LOT, cooking up a storm. They have a skittish 3-legged fluffy cat who will often explore down at your end of the hall; if you are allergic to fluffy cats this is not the place for you. The roommate you'll be sharing the front half of the apartment with is a freelance filmmaker. Age range is 25-37.  

About you: You are a MALE (sorry ladies), have NO PETS (sorry, but our kitty would freak), and are in a similar age range. You are respectful, chill, gainfully employed, and are out and about more than you are home. You are also someone who doesn't care for cooking and doesn't use the kitchen all that often (that's the way it is now and that's how we'd like it to stay). If this doesn't sound like you, you probably aren't a good fit!

About the flat: We share the third (top) floor of the house. We have a big backyard with a fire pit that we share with the two other flats in the building. Our apartment is then split into two parts separated by a long 60' hallway. Each end of the hall has 2 bedrooms and a full bath, and we share the kitchen and laundry room. A couple shares the back end of the house, and the front end you'll be on has a room opening up.

About your room: Very spacious (12' by 18'), nice big windows (facing Fell St), and a mid-sized closet with some storage shelves. You will share a mid-sized living room and a bathroom with one male roommate on your side of the house.
If you're interested please shoot us an email with a little bit about yourself--who you are & what you're all about. If you seem like a good fit we'll schedule a room showing.

Room is $1175/month plus utilities  (WiFi, PG&E, plus house shared cleaning supplies) which ranges from $75-100 a month.  Security deposit is $1175. Move in date is July 1st.

Happy house hunting!
    ",post id: 6176625102,Come be the 4th roommate in our spacious Edwardian flat!,https://sfbay.craigslist.org/sfc/roo/6176625102.html,alamo square / nopa,
1138,,"
        
A brand new SOMA apartment building has a 2 Bed and 2 Bathroom available. It's located in a great area, near a good mix of grocery & shopping outlets ( Nordstrom Rack, Bed Bath & Beyond, Trader Joe's). As well as restaurants and cafes (SO, Terroir & Cat Club)

Its also a walking distance from BART, Muni, and the Caltrain. As well as various car rental services. It is a one year lease which includes a wide range of amenities like:
Wi-Fi access in community social spaces 
Guest parking
On-site retail
Game lounge 
Beer Gardens
Bike storage

Move in wouldn't be hard, it's flexible. The rent would be $1300 and the security deposit would be the same as one month's rent. It'll be a one year lease. We can't take pets though :(  

If you're interested you can schedule a tour here:
http://bookatour.co/lseven?c=clp_bl20.3.614    ",post id: 6176607174,Looking for cool roommate in SoMa!,https://sfbay.craigslist.org/sfc/roo/6176607174.html,mission district,
,,"
        
Bay window in room
Private bath & shower with skylight
Roof deck and garage included. Shared coin laundry downstairs. Lots of storage space.
Chateau Fulton is a 3 bedroom 2 bathroom place.

Month-to-month to start. Ideally 700+ credit score, stable job, and simple to live with.

Open house tonight, Wednesday 14, from 7-9. 
Tell us about yourself and why we should meet you tonight.

Neil is 36 and has lived here since 2011 and Joyce (30) moved in a year ago.    ",post id: 6171344800,Chateau Fulton @Clayton searching for new flatmate in master bedroom,https://sfbay.craigslist.org/sfc/roo/6171344800.html,alamo square / nopa,
Compensation,Post time,Description,Post Id,Title,URL,Address,Employment Type
120,2017-05-28  9:28pm,"
        
Cozy unfurnished room in shared flat. Roommates share PG&E, Water, and Internet. Room can also come with a bed, dresser, night stand, chair, and TV w/stand for a slightly higher price ($1450). Includes closet. Close to Golden Gate Park, Divisadero, and major bus lines. Furniture not picture. Private viewing available upon request.    ",post id: 6152286257,Unfurnished room in NOPA,https://sfbay.craigslist.org/sfc/roo/6152286257.html,alamo square / nopa,
,2017-06-14 10:07am,"
        
Buddy's House is the most successful network of Sober Living homes in Northern California. Serving men, women and families with children in the Yuba-Sutter Community since 2004. $695 mo. Includes Rent, food, and utilities. On site Laundry, Cable T.V./wifi, and gym access available. Call our office at 
 
 Rooms AVAILABLE NOW! No deposit required.    ",post id: 6176615941,$495-$695 INCLUDES FOOD/UTIL - SOBER LIVING (Yuba City),https://sfbay.craigslist.org/sfc/roo/6176615941.html,Yuba City,
800,2017-06-14 10:07am,"
        
1 Bedroom available in a shared 2 bedroom apartment next to Dolores Park starting July 1 for the month. 
 Amazing location.  I will be in Portland most of the month, so you will have the apartment to yourself most of the time. 




This is a temporary room for someone who is working full time and looking for permanent housing. 

It's a great location in the heart of the Mission Dolores neighborhood with the Muni on the same block. 

You will have the place mostly to yourself. I will use the 2nd bedroom occasionally when I have work in the city. 

It's an easy going apartment where I have hosted Airbnb guests for some time. 
I am looking for a temp situation for the right person for the month of July. 

I have 170 positive reviews which I can share and I'd also like to check your references. 

If you need a parking space, there is one available in the garage for $100/mo    ",post id: 6176616366,Furnished Room in the Mission - 1 mos.  Shared 2 bdrm apt. DoloresPark,https://sfbay.craigslist.org/sfc/roo/6176616366.html,mission district,
Compensation,Post time,Description,Post Id,Title,URL,Address,Employment Type
,2017-06-14  2:32pm,"
        
1 bedroom available in a 3 bedroom/2 bath apartment in the Mission. Apartment contains an entry way, combined living room/kitchen, and a back yard. There is also a bike storage room in the basement. A laundromat is located directly across the street. The entire apartment is furnished except for the bedroom for rent. 

About Us:
-28 year old male UCSF PhD student.  
-31 year old landscape architect 

We are both clean, responsible, and quiet. We work pretty standard hours (~8 or 9 AM - 7 PM). We often enjoy doing communal dinners, although of course not necessary. We are looking for a roommate who is responsible, professional, and clean of any gender or sexual orientation. 

The apartment is located just a block away from 24th st, and therefore is close to restaurants, bars, and public transportation. It is roughly a 10 minute walk to 24th St Bart, and a 7 minute walk to SFGH where the Gold/Blue/Yellow shuttles pick up. 

No additional pets. We have a small, friendly, and well behaved ~4 year old shih tzu. 

Apartment is available as soon as now through the end of July. Rent is $1200 plus utilities (usually $30-40 per person per month). Rent will be prorated for the month of June. 

If interested, please send an e-mail with a description of yourself as well as a personal reference    ",post id: 6177039572,Mission Apartment Summer Sublet (Now through July),https://sfbay.craigslist.org/sfc/roo/6177039572.html,mission district,
140,2017-06-07  2:38pm,"
        
GREAT FOR STUDENT.

FEATURES

Bedrooms: 1 Bed
Bathrooms: 1 Bath
Parking: Street
Lease Duration: 1 Year 
Deposit: $1,050
Pets Policy: No Pets Allowed
Floor: Top Floor Unit
Property Type: Apartment

DESCRIPTION
________________________________________
- tenants pay for utilities (PG&E, Water, Garbage, and Cable/Internet)
- one bedroom w/ a newly remodeled en-suite bathroom
- new carpets 
- appliances included: mini refrigerator, microwave, hot plate 
- NO KITCHEN ACCESS 
- building includes washer and dryer
- plenty of street parking
- public transportation only minutes away; walking distance to N-Judah, 28-19th Ave
- easy access to UCSF, SFSU, CCSF
- two blocks away from Irving St (grocery stores, restaurants, banks and others) 
- no pets
- no smoking
- credit check required
- due at signing: $1,050 (first month rent) + $1,050 (security deposit) = $2,100
- other terms will be stated in owner/tenants contract

Unit is available for rent starting NOW.

Be sure to bring a copy of a recent credit report (online credit report is fine), verification of income(2 months check stubs) and any government issued ID card. If students, please provide both student ID and government issued ID card and recent school transcript(unofficial is fine). 

Please email us with any questions or more information about the listing. We can schedule a tour of the unit at the most convenient time.    ",post id: 6166802762,1bdrm w/ en-suite bthrm and individual entrance - 20th Ave/ Kirkham,https://sfbay.craigslist.org/sfc/roo/6166802762.html,sunset / parkside,
,2017-06-14  1:43pm,"
        
Furnished room in a comfortable and well-located 2 bedroom apartment available July 1. 

The room is 11x12 with a good-sized closet and comes with a comfy queen bed, a small desk/end-table, coffee table, and 2 lamps. If you'd prefer unfurnished, let's talk. It may be possible. Large window faces south so it gets great light and full sun. Rent is $1350/month + $500 security deposit. 

The apartment is a 2-bedroom with a spacious living room/dining room and good sized kitchen. I've lived here for over a year and so things are pretty well stocked in terms of furniture and kitchen. Some of the perks: big woven carpet, surround sound audio, record player, hand-turned coffee grinder that makes all the hipsters jealous, skylights in kitchen and bathroom, and lots of plants. 

It's 2 blocks from Golden Gate Park, 5 blocks from Geary and the Clement Street corridor and 6 blocks from Haight-Ashbury. There's a local grocery around the corner and Trader Joe's, Safeway, and Whole Foods all nearby. There are several local coffee shops in the neighborhood and lots of food options. USF is right up the hill and UCSF is directly across the park. 

4 bus lines run downtown from here, including the 5 Fulton which runs a standard and/or Rapid service. You can get downtown (and to BART) in 15 minutes most times of day. The 33 also runs over to the Mission regularly. 

No pets allowed and no cigarette smoking inside. No couples. Sorry. 

ABOUT ME: 
I'm a 35 year-old straight male. Very chill and accommodating. I'm comfortable with all types of people. I'm a real norcal kid. I enjoy hoppy beer, strong coffee, green plants, funky music, mountains, creeks, rivers, and good people. I cook, and I'm clean but not OCD. I work for a small nonprofit working on peace and justice issues in the Middle East (yeah, it keeps me busy). I also travel regularly. 

ABOUT YOU: 
I'm looking for someone that is tidy (does dishes and vacuums every once in awhile), conscious (woke), and communicative (be a human being, please). This is a place where you can feel comfortable to be yourself. 

If it sounds good to you, send me a message. I'm hoping to meet people very soon and hopefully get this wrapped up well before the end of the month! The more you tell me about yourself, the better. 

good luck! 
Jake    ",post id: 6176969114,Excellent Room in Golden Gate Park Flat near USF,https://sfbay.craigslist.org/sfc/roo/6176969114.html,USF / panhandle,
,2017-06-14  1:43pm,"
        
Looking for a friendly easygoing roommate without bad habits. Available room is in the beautiful condo. It is 12 x 11 with a separate bathroom, large closet, wood floors, freshly painted, built-in wall heater, and a big window facing Brotherhood Way.  Apartment fully furnished except the available room. Newly remodeled kitchen fully stocked, including new washer and dryer. There is also a balcony with a heater and bbq. Condo located in a beautiful, quiet and safe gated community which has a swimming pool, hot tub, tennis courts, sauna, 24 hour security and lots of parking.

 

Condo conveniently situated across the street from Lake Merced, next to SFSU, CCSF, Daly City, Bart, Sonestown Mall, Lakeshore shopping center and Westlake shopping center. There are several different buses stop right in-front of the main entrance to the condo complex.

 

I am a 29 year old male, work full time and finishing school. I have an 8 year old English Bulldog SO YOU HAVE TO LIKE DOGS! I am not a party animal, don't have bad habits and like to cook.

I am asking for $1,500.00 a month and we will split the electrical and Comcast bill.

To move in I will need first and last month + 1500 security deposit. 

If you have any question please feel free to contact me.    ",post id: 6176969130,private room for rent,https://sfbay.craigslist.org/sfc/roo/6176969130.html,ingleside / SFSU / CCSF,
,2017-06-11 12:59pm,"
        
Looking for a friendly easygoing roommate without bad habits. Available room is in the beautiful condo. It is 12 x 11 with a separate bathroom, large closet, wood floors, freshly painted, built-in wall heater, and a big window facing Brotherhood Way.  Apartment fully furnished except the available room. Newly remodeled kitchen fully stocked, including new washer and dryer. There is also a balcony with a heater and bbq. Condo located in a beautiful, quiet and safe gated community which has a swimming pool, hot tub, tennis courts, sauna, 24 hour security and lots of parking.

 

Condo conveniently situated across the street from Lake Merced, next to SFSU, CCSF, Daly City, Bart, Sonestown Mall, Lakeshore shopping center and Westlake shopping center. There are several different buses stop right in-front of the main entrance to the condo complex.

 

I am a 29 year old male, work full time and finishing school. I have an 8 year old English Bulldog SO YOU HAVE TO LIKE DOGS! I am not a party animal, don't have bad habits and like to cook.

I am asking for $1,500.00 a month and we will split the electrical and Comcast bill.

To move in I will need first and last month + 1500 security deposit. 

If you have any question please feel free to contact me.    ",post id: 6172397019,private roomfor rent,https://sfbay.craigslist.org/sfc/roo/6172397019.html,ingleside / SFSU / CCSF,
,2017-06-14  1:41pm,"
        
The apartment is in the beautiful, fun neighborhood of Hayes Valley and I'm hoping to find someone that I get along well with to share it with. The building has a gym, rooftop with views and package pickup service. This is in the Avalon Hayes Valley building. 

A little about me: I'm a 25 year old female and work down in the South Bay in marketing. I'm pretty outgoing, but respectful of others and am usually out on weeknights/weekends exploring new restaurants or hanging with friends. I also love to travel and be outdoors. Looking forward to meeting you!

I'd prefer to live with another girl, but have lived with guys before as well so I'm open to both. 




    ",post id: 6176966340,Private Room/Bathroom in a 2 luxury bed in the center of Hayes Valley,https://sfbay.craigslist.org/sfc/roo/6176966340.html,hayes valley,
1100,2017-06-14  1:53pm,"
        
Hello ladies!

Looking for a friendly gal to move into the second bedroom at our cute house in beautiful lower pac heights. I have to leave my amazing room mate, so posting this on her behalf! :( 

About the place:
We have sky light windows in the kitchen and bathroom, along with high ceilings and large windows throughout the house. 
We're on the second floor; Our living room windows look down on trees outside and the street below (sunny and quiet!).
Your bedroom has a mini, private terrace, which your window opens up to (along with the living room on the opposite side - see pics!).
Your bedroom comes with a bed and large dark wooden dresser, but we can get rid of both if you don't want them!
You'll have a private half bathroom and will share the shower (for us this has been easy).
The living room and kitchen are spacious and have lots of natural light!
We have cable, but were considering getting rid of it -- this is something that's up for discussion.
There's free laundry downstairs that we share with a few other tenants in our building. 
Bus lines are one and a half blocks away to take you straight into FiDi/downtown. And everywhere else is typically a $4 to $8 lyft line away, including the train station. (Hello, easy commute!) 
Only a block walking distance from all the charming things in Pac Heights! I.e. coffee shops, restaurants, ice cream, shopping, bookstore. Prime time location!

The ideal roomie:
Female in 20's or early 30's. (She is 28 and I'm 29)
Friendly, courteous, and easy to get along with
Clean and tidy! We always keep the common areas clean with no personal items laying around. :-D

Your roomie is an ambitious VC usually pretty busy with work/networking events, so living here will sometimes feel like you live along! But when she is around, she'll make you coffee, tell you a story, and be overall lovely company.
    ",post id: 6176984334,Sunny room in Lower Pac Hgts avail for friendly female,https://sfbay.craigslist.org/sfc/roo/6176984334.html,lower pac hts,
